48.846413, 2.354847
20.928890, -11.623610, Cultural
-20.158639, 57.073670, Cultural
-20.022448, 56.898837, Cultural
17.483330, -92.050000, Cultural
19.418330, -99.132780, Cultural
19.691670, -98.841670, Cultural
17.061940, -96.721670, Cultural
19.047220, -98.208330, Cultural
21.016940, -101.255560, Cultural
20.666670, -88.600000, Cultural
30.375830, -107.955560, Cultural
19.704440, -101.191670, Cultural
20.476390, -97.377500, Cultural
22.766670, -102.555560, Cultural
18.934720, -98.897780, Cultural
27.655560, -112.916110, Cultural
20.361667, -89.770278, Cultural
20.583333, -100.366667, Cultural
20.673889, -103.339722, Cultural
18.608333, -95.658333, Cultural
19.846390, -90.537220, Cultural
18.810280, -99.275000, Cultural
21.204389, -99.464111, Cultural
19.418333, -99.198333, Cultural
20.004062, -102.919618, Cultural
18.902725, -99.188056, Cultural
20.055451, -99.887395, Cultural
22.178559, -101.949670, Cultural
16.091840, -95.991614, Cultural
18.976284, -97.803573, Cultural
5.980729, 157.901337, Cultural
47.556667, 102.831389, Cultural
48.904392, 87.965781, Cultural
47.902984, 109.009328, Cultural
42.483330, 18.700000, Cultural
34.061110, -4.977780, Cultural
31.631390, -7.986670, Cultural
31.047220, -7.128890, Cultural
31.516670, -9.769440, Cultural
33.883330, -5.558330, Cultural
34.073890, -5.556940, Cultural
35.570830, -5.366670, Cultural
33.256670, -8.501940, Cultural
34.024167, -5.963784, Cultural
-15.034170, 40.735830, Cultural
22.470000, 94.959618, Cultural
-20.166087, 13.943087, Cultural
27.703950, 85.308580, Cultural
27.468890, 83.276110, Cultural
52.638611, 5.771667, Cultural
52.374444, 4.893056, Cultural
51.882500, 4.649444, Cultural
12.101940, -68.902220, Cultural
52.845830, 5.678890, Cultural
52.548889, 4.911111, Cultural
52.085278, 5.147222, Cultural
52.365000, 4.028784, Cultural
51.064340, 3.988837, Cultural
12.397220, -86.610280, Cultural
12.435000, -86.019062, Cultural
16.114618, 7.132395, Cultural
10.740560, 13.571940, Cultural
7.755560, 4.552220, Cultural
62.144392, 10.956059, Cultural
61.300000, 7.333330, Cultural
60.397220, 5.323060, Cultural
69.950000, 23.183330, Cultural
65.616670, 11.750000, Cultural
59.019618, 8.164114, Cultural
22.964170, 57.301110, Cultural
23.269860, 56.745000, Cultural
18.253330, 53.647590, Cultural
22.139895, 57.106559, Cultural
27.329167, 68.138889, Cultural
33.779167, 72.887500, Cultural
34.320833, 71.945833, Cultural
24.766667, 67.900000, Cultural
31.590278, 74.309722, Cultural
32.962500, 73.588889, Cultural
30.845359, 35.207500, Cultural
30.860729, 35.130556, Cultural
9.553889, -79.655833, Cultural
8.951111, -79.540556, Cultural
-4.924718, 143.902225, Cultural
-27.133330, -55.700000, Cultural
-13.522220, -71.983330, Cultural
-9.163276, -77.178454, Cultural
-8.100000, -79.083330, Cultural
-12.051390, -77.043060, Cultural
-14.725830, -75.148610, Cultural
-16.400000, -71.533333, Cultural
-10.032673, -77.091892, Cultural
17.575000, 120.387500, Cultural
14.590000, 120.970000, Cultural
16.933890, 121.136670, Cultural
50.061389, 19.078229, Cultural
52.266390, 21.011670, Cultural
50.038889, 19.175000, Cultural
49.120173, 20.063889, Cultural
50.716670, 23.266670, Cultural
53.010000, 18.619440, Cultural
54.041667, 19.033333, Cultural
49.866667, 19.666667, Cultural
49.750000, 21.233333, Cultural
51.054278, 16.195944, Cultural
51.106947, 17.077014, Cultural
38.655000, -27.220000, Cultural
38.691940, -9.215830, Cultural
39.657780, -8.826940, Cultural
39.604720, -8.417500, Cultural
38.573060, -7.907780, Cultural
39.550000, -8.976670, Cultural
38.783330, -9.416670, Cultural
41.141667, -8.616667, Cultural
41.443731, -8.292803, Cultural
41.101667, -7.798889, Cultural
38.513444, -28.541167, Cultural
38.021626, -7.163322, Cultural
40.207811, -8.425775, Cultural
25.119062, 51.029722, Cultural
35.783333, 129.350000, Cultural
35.800000, 128.100000, Cultural
37.550000, 126.983330, Cultural
37.550000, 126.983333, Cultural
37.272220, 127.008330, Cultural
35.788890, 129.226670, Cultural
34.966670, 126.929170, Cultural
37.197222, 128.023281, Cultural
36.109670, 128.087170, Cultural
37.049392, 127.181111, Cultural
36.032448, 127.127222, Cultural
46.135833, 24.773056, Cultural
45.183333, 24.016667, Cultural
46.919340, 24.853784, Cultural
46.217778, 24.792222, Cultural
47.820833, 24.055833, Cultural
45.623056, 23.311944, Cultural
59.950000, 30.318330, Cultural
62.071389, 35.227500, Cultural
55.745830, 37.629720, Cultural
58.533330, 31.283330, Cultural
65.083333, 35.666667, Cultural
56.150000, 40.416667, Cultural
55.655560, 37.673890, Cultural
56.310350, 38.131200, Cultural
55.791111, 49.095000, Cultural
54.119895, 49.056389, Cultural
59.950000, 38.566667, Cultural
42.052972, 48.297194, Cultural
55.726111, 37.555083, Cultural
57.652780, 39.876110, Cultural
17.346940, -62.837220, Cultural
43.073784, 12.022448, Cultural
25.924618, 37.955000, Cultural
23.875140, 46.142970, Cultural
21.054392, 39.187500, Cultural
28.010556, 40.054062, Cultural
14.667220, -17.400830, Cultural
16.027780, -16.504440, Cultural
12.976284, -16.069114, Cultural
12.163837, -11.986840, Cultural
43.118890, 20.422780, Cultural
43.486110, 20.536670, Cultural
41.802118, 19.836059, Cultural
43.040312, 22.186111, Cultural
0.885781, 102.957118, Cultural
48.461110, 18.900000, Cultural
48.140451, 20.767500, Cultural
49.039167, 18.848837, Cultural
49.293330, 21.279170, Cultural
48.906614, 19.128837, Cultural
-24.158610, 29.176940, Cultural
-33.800000, 18.366667, Cultural
-22.192500, 29.238890, Cultural
-28.600000, 17.203889, Cultural
43.382528, -4.116167, Cultural
40.948472, -4.116750, Cultural
43.362620, -5.843030, Cultural
37.879194, -4.779722, Cultural
37.176670, -3.594440, Cultural
41.911031, -2.845820, Cultural
40.581750, -4.126417, Cultural
41.413380, 2.152972, Cultural
42.880760, -8.544680, Cultural
